Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
SuperFireBall,,魔爆术,魔爆術,Magic Explosion,炎爆,造成{0}伤害。,造成{0}傷害。,Deal {0} damage.,{0}のダメージを与える。
WeakLight,,无力化：一阶,無力化：一階,Weaken I,弱体化,赋予对方{0}层无力。,賦予對方{0}層無力。,Apply {0} stack(s) of {buff_weak} to the enemy.,敵に{buff_weak}を{0}スタック付与する。
OrdinaryFiveHit,,蝶翼复切,蝶翼復切,Wing Rend,蝶翼連斬,造成{0}伤害。,造成{0}傷害。,Deal {0} damage.,{0}のダメージを与える。
Weak,,无力化：二阶,無力化：二階,Weaken II,虚弱,给与自身{0}层无力。,給予自身{0}層無力。,Gain {0} stack(s) of {buff_weak}.,自身に{buff_weak}を{0}スタック付与する。
thief,,窃取,竊取,Steal,窃盗,偷窃对方{0}点金币。,偷竊對方{0}點金幣。,Steal {0} Gold from the enemy.,敵から{0}ゴールドを盗む。
Thieves,,摸金术,摸金術,Grave Robbery,強奪,偷窃对方{0}点金币。,偷竊對方{0}點金幣。,Steal {0} Gold from the enemy.,敵から{0}ゴールドを強奪する。
Charge1,,蓄势,蓄勢,Poised,チャージ,正在进行蓄力。,正在進行蓄力。,Charging up.,チャージ中...
Charge2,,发条驱动,發條驅動,Clockwork Drive,ゼンマイ駆動,正在进行蓄力。,正在進行蓄力。,Charging up.,チャージ中...
burn,,蹈火之域：一阶,蹈火之域：一階,Blaze Field I,火渡りの領域,给与对方{0}层灼烧。,給予對方{0}層灼燒。,Apply {0} stack(s) of {buff_burn} to the enemy.,敵に{buff_burn}を{0}スタック付与する。
burn1,,蹈火之域：二阶,蹈火之域：二階,Blaze Field II,焚火の領域,给与对方{0}层灼烧。,給予對方{0}層灼燒。,Apply {0} stack(s) of {buff_burn} to the enemy.,敵に{buff_burn}を{0}スタック付与する。
burn2,,蹈火之域：三阶,蹈火之域：三階,Blaze Field III,炎への献上,给与对方{0}层灼烧。,給予對方{0}層灼燒。,Apply {0} stack(s) of {buff_burn} to the enemy.,敵に燃焼を{0}スタック付与する。
specialAttack,,神之福音,神之福音,Divine Gospel,神の福音,"造成{0}点伤害,获得{1}点护盾。","造成{0}點傷害,獲得{1}點護盾。",Deal {0} damage and gain {1} Shield.,{0}のダメージを与え、{1}のシールドを獲得する。
MakeIneffectiveRays1,,结晶化,結晶化,Crystallize,鉄壁,"获得{0}点护盾,获得{1}层坚毅。","獲得{0}點護盾,獲得{1}層堅毅。",Gain {0} Shield and {1} stack(s) of {buff_impregnable}.,{0}のシールドと{buff_impregnable}を{1}スタック獲得する。
PlugCards1,,怯懦诅咒,怯懦詛咒,Cowardice Curse,臆病の呪い,将{0}张魔力屏障塞到魔女抽牌堆中。,將{0}張魔力屏障塞到魔女抽牌堆中。,Shuffle {0} Magic Barrier into the Witch’s draw pile.,魔女の山札に「魔力障壁」を{0}枚加える。
PlugCards2,,退行诅咒,退行詛咒,Regression Curse,退行の呪い,将{0}张隐疾和{1}张法杖敲头塞到魔女抽牌堆中。,將{0}張隱疾和{1}張法杖敲頭塞到魔女抽牌堆中。,Shuffle {0} Hidden Ailment and {1} Staff Bonk into the Witch’s draw pile.,魔女の山札に「隠れた病」を{0}枚と「杖で殴る」を{1}枚加える。
WhereverYouGo,,魔女权能：镜像复制,魔女權能：鏡像復制,Witchcraft: Copy,鏡像,复制魔女的所有状态。,復制魔女的所有狀態。,Copy all of the Witch's statuses.,敵の全ての戦闘ステータスをコピーし。
PlugCards3,,怯懦诅咒：二阶,怯懦詛咒：二階,Coward Curse II,守りの呪い,将{0}张魔力屏障塞到魔女抽牌堆中。,將{0}張魔力屏障塞到魔女抽牌堆中。,Shuffle {0} Magic Barrier into the Witch’s draw pile.,魔女の山札に「魔力障壁」を{0}枚加える。
vulnerabilityLight,,看破,看破,Pierce,見切り,给与对方{0}层易伤。,給予對方{0}層易傷。,Apply {0} stack(s) of {buff_vulnerability} to the enemy.,敵に{buff_vulnerability}を{0}スタック付与する。
MakeIneffectiveRays2,,堡垒化,堡壘化,Fortify,要塞化,"获得{0}点护盾,获得{1}层坚毅。","獲得{0}點護盾,獲得{1}層堅毅。",Gain {0} Shield and {1} stack(s) of {buff_impregnable}.,{0}のシールドと{buff_impregnable}を{1}スタック獲得する。
SpreadWings,,熔炎重刃,熔炎重刃,Molten Cleaver,熱風の襲撃,造成{0}伤害，施加{1}层灼烧,造成{0}傷害，施加{1}層灼燒,Deal {0} damage and apply {1} stack(s) of {buff_burn}.,{0}のダメージを与え、燃焼を{1}スタック付与する。
HighFly,,浴火,熔火聖械,Bathe in Fire,涅槃,获得{0}护盾值，自身每有1层灼烧，本场战斗护盾量永久+1。,獲得{0}護盾值，自身每有1層灼燒，本場戰鬥護盾量永久+1。,Gain {0} Shield. Permanently increase Shield gain by 1 for each stack(s) of {buff_burn} on the self this combat.,{0}のシールドを獲得する。が持つ{buff_burn}1スタックにつき、この戦闘中、シールド獲得量が永久に+1される。
Come,,有机分裂,有機分裂,Organic Division,号令,"如果已经召唤了两次普拉提壮壮则自身受到最大生命值15%的伤害,否则召唤普拉提壮壮。","如果已經召喚了兩次普拉提壯壯則自身受到最大生命值15%的傷害,否則召喚普拉提壯壯。","If Platy Robust has been summoned twice, take damage equal to 15% of max Health. Otherwise, summon Platy Robust.",既に「大力王の子」を2回召喚している場合、最大HPの15%のダメージを受ける。そうでない場合、「大力王の子」を1体召喚する。
Dragon'sMajesty,,战栗咆哮,戰栗咆哮,Terrifying Roar,威嚇,往魔女弃牌堆加入{0}张恐惧感。,往魔女棄牌堆加入{0}張恐懼感。,Add {0} Exhaustion to the Witch's discard pile.,魔女の山札に「脱力」を{0}枚加える。
FallenDragon,,激怒战吼,激怒戰吼,Rage Roar,弔い：奮起,所有友方获得{0}层超凡。,所有友方獲得{0}層超凡。,All allies gain {0} stack(s) of {buff_extraordinary}.,全ての味方が{buff_extraordinary}を{0}スタック獲得する。
LimePowder,,思维侵入,思維侵入,Mind Invasion,摂神,给与魔女{0}层遗忘。,給予魔女{0}層遺忘。,Apply {0} stack(s) of {buff_oblivion} to the Witch.,魔女に{buff_oblivion}を{0}スタック付与する。
PoisonThrowing,,圣械断骨,圣械斷骨,Holy Bone Break,猛毒,"给与魔女{0}层重伤,{1}层中毒。","給予魔女{0}層重傷,{1}層中毒。",Apply {0} stack(s) of Trauma and {1} stack(s) of {buff_toxin} to the Witch.,魔女に重傷を{0}スタックと{buff_toxin}を{1}スタック付与する。
Observe,,涣散,渙散,Dispersion,渙散,给与魔女{0}层失格。,給予魔女{0}層失格。,Apply {0} stack(s) of {buff_degrade} to the Witch.,魔女に{buff_degrade}を{0}スタック付与する。
EvilCurse,,混沌诅咒,混沌詛咒,Chaos Curse,混沌の呪い,随机在魔女牌堆塞入{0}张诅咒牌。,隨機在魔女牌堆塞入{0}張詛咒牌。,Shuffle {0} random Curse card(s) into the Witch's deck.,魔女の山札にランダムな呪いカードを{0}枚加える。
IceShield,,幻景,幻景,Frost Domain,寒冷領域,给与魔女{0}层失能。,給予魔女{0}層失能。,Apply {0} stack(s) of {buff_cripple} to the Witch.,魔女に{buff_cripple}を{0}スタック付与する。
GiantClawStrike,,巨力爪击,巨力爪擊,Mighty Claw,剛力の爪撃,造成{0}伤害，施加{1}层流血。,造成{0}傷害，施加{1}層流血。,"Deals {0} damage, applying {1} stack(s) of {buff_bleeding}.",{0}のダメージを与え、{buff_bleeding}を{1}スタック付与する。
PowerlessCurse,,无力诅咒,無力詛咒,Weakness Curse,無力の呪い,将{0}张无力塞到魔女抽牌堆中。,將{0}張無力塞到魔女抽牌堆中。,Shuffle {0} Weakness into the Witch’s draw pile.,魔女の山札に「脱力」を{0}枚加える。
MT1,,操偶术:保护,操偶術:保護,Puppetry: Guard,操り術：保護,与友方获得1层同心。,與友方獲得1層同心。,Gain 1 stack of {buff_lifelink} with allies.,味方と1スタックの{buff_lifelink}を獲得する。
MT2,,操偶术:狂暴,操偶術:狂暴,Puppetry: Frenzy,操り術：狂暴,给与友方{0}层超凡并使行动次数加1。,給予友方{0}層超凡并使行動次數加1。,Give allies {0} stack(s) of {buff_extraordinary} and increase their action count by 1.,味方に{buff_extraordinary}を{0}スタック付与し、行動回数+1。
Wake,,唤醒,喚醒,Awaken,覚醒,唤醒玩偶熊。,喚醒玩偶熊。,Awaken the Doll Bear,ぬいぐるみ熊を目覚めさせる。
FullSupport,,防护结界,防護結界,Guard Barrier,全体支援,给与所有友方{0}点护盾。,給予所有友方{0}點護盾。,Grant all allies {0} Shield.,全ての味方に{0}のシールドを付与する。
VenomSpray,,剧毒因子,劇毒因子,Toxic Factor,毒液噴射,造成{0}点伤害，将1张瘟疫塞到魔女抽牌堆中。,造成{0}點傷害，將1張瘟疫塞到魔女抽牌堆中。,Deal {0} damage and shuffle 1 Plague into the Witch’s draw pile.,{0}ポイントのダメージを与え、1枚のペストカードを魔女のドロー山札に置く。
psychologicalShock,,震颤,震顫,Tremor,精神的ショック,造成{0}点伤害，将1张遗忘塞到魔女抽牌堆中。,造成{0}點傷害，將1張遺忘塞到魔女抽牌堆中。,Deal {0} damage and shuffle 1 {buff_oblivion} into the Witch's draw pile.,{0}ポイントのダメージを与え、1枚の忘却カードを魔女のデッキに入れる。
obtainMoney,,探囊取物,探囊取物,Pickpocket,朝飯前のこと,造成{0}点伤害，偷取魔女15点金币。,造成{0}點傷害，偷取魔女15點金幣。,Deal {0} damage and steal 15 Gold from the Witch.,{0}ポイントのダメージを与え、魔女から15ゴールドを盗む
FiveHit,,寂灭黑星,寂滅黑星,Blackstar End,寂滅の黒い星,造成{0}点伤害。,造成{0}點傷害。,Deal {0} damage.,{0}のダメージを与える。
OriginalSinCard,,原罪,原罪,Original Sin,原罪,在魔女抽牌堆中塞入{0}张原罪。,在魔女抽牌堆中塞入{0}張原罪。,Shuffle {0} Original Sin into the Witch’s draw pile.,魔女のデッキに{0}枚の原罪を入れる。
Despair,,绝望,絕望,Despair,絶望,造成{0}伤害，施加3层中毒。,造成{0}傷害，施加3層中毒。,Deal {0} damage and apply 3 stack(s) of Poison.,{0}のダメージを与え、3層の中毒を付与する。
RoyalBarrier,,王族壁垒,王族壁壘,Royal Barrier,王族の砦,增加{0}护盾。,增加{0}護盾。,Gain {0} Shield.,{0}のシールドを獲得する。
HJE_Judgment,,命运轮转：裁决之刻,命運輪轉：裁決之刻,Fate: Judgment,命運輪転：裁決の刻,所有单位受到伤害+50%，且每次行动后承受其最大生命值1%的真实伤害。,所有單位受到傷害+50%，且每次行動後承受其最大生命值1%的真實傷害。,"All units take +50% damage, and after each action they suffer True Damage equal to 1% of their Max Health.",運命刻の意図のみ（効果は【神聖審判機関】特性で発動）。
HJE_Dawn,,命运轮转：启明之刻,命運輪轉：啟明之刻,Fate: Dawn,命運輪転：啓明の刻,魔女每次打出卡牌时支付6金币；若金币不足，则改为扣除等量生命上限。,魔女每次打出卡牌時支付6金幣；若金幣不足，則改為扣除等量生命上限。,"Each time the Witch plays a card, pay 6 Gold; if you do not have enough Gold, lose that much Max Health instead.",運命刻の意図のみ（効果は【神聖審判機関】特性で発動）。
HJE_HolyMachine,,命运轮转：圣械之刻,命運輪轉：圣械之刻,Fate: HolyMach,命運輪転：聖械の刻,全场单位每次受到伤害时，获得1层锋锐。,全場單位每次受到傷害時，獲得1層{buff_keenedge}。,"Whenever any unit takes damage, gain 1 stack of {buff_keenedge}.",運命刻の意図のみ（効果は【神聖審判機関】特性で発動）。
CAR_Spear,,圣枪：迦耶伯格,圣槍：迦耶伯格,Gae Bolg Spear,聖槍：ゲイ・ボルク,造成{0}点伤害，并施加{1}层易伤。,造成{0}點傷害，并施加{1}層易傷。,Deal {0} damage and apply {1} stack(s) of {buff_vulnerability}.,{0}ダメージを与え、{buff_vulnerability}を{1}スタック付与する。
CAR_Hammer,,圣锤：乌尔加农,圣錘：烏爾加農,Ulgarn Hammer,聖鎚：ウルガノン,造成{0}点伤害，施加恢复抑制并击碎33%的护盾。,造成{0}點傷害，施加恢復抑制并擊碎33%的護盾。,"Deal {0} damage, apply healing restraint, and shatter 33% of Shield.",{0}点のダメージを与え、回復抑制を付与し、シールドを33%破壊する。
CAR_Shield,,圣盾：瓦尔特洛斯,圣盾：瓦爾特洛斯,Valtros Shield,聖盾：ヴァルトロス,获得{0}层坚毅与{1}层吸收。,獲得{0}層堅毅與{1}層吸收。,Gain {0} stack(s) of {buff_impregnable} and {1} stack(s) of {buff_vitality}.,{buff_impregnable}を{0}、{buff_vitality}を{1}スタック獲得する（防御値依存）。
CAR_Sword,,圣剑：瑟兰提尔,圣劍：瑟蘭提爾,Serantir Sword,聖剣：セランティル,造成{0}点伤害，并额外造成目标最大生命值20%的真实伤害。,造成{0}點傷害，并額外造成目標最大生命值20%的真實傷害。,Deal {0} damage and additional True Damage equal to 20% of target Max Health.,{0}ダメージを与え、さらに対象の最大HP20%分の真実ダメージを与える。
Seduce,,龙吼,龍吼,Dragon Roar,竜吼,造成{0}点伤害，并施加{1}层易伤。,造成{0}點傷害，并施加{1}層易傷。,Deal {0} damage and apply {1} stack(s) of {buff_vulnerability}.,{0}点のダメージを与え、脆弱を{1}スタック付与する。
