Id,1Script,2Script,3Script,4Script,InitScript,EntryScript
*2004,"PlayerInfo.MaxHp+=20;
       PlayerInfo.SetGameVar(""Branch"",""1"");
        PlayerInfo.ContinueEvent(""2"");","PlayerInfo.MaxHp+=20;PlayerInfo.SetGameVar(""Branch"",""2"");
  PlayerInfo.ContinueEvent(""3"");",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
Sub_*2004_2,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
Sub_*2004_3,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2005,"
        PlayerInfo.SetGameVar(""ExCardBottom"",""1"");PlayerInfo.Wisdom+=0;
        PlayerInfo.EndEvent();","PlayerInfo.MoneyMultiplier-=10;
        PlayerInfo.EndEvent();",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
*2006,"Vars[""Use1""]=""true"";
        PlayerInfo.Hp+=PlayerInfo.MaxHp/5;
        PlayerInfo.ContinueEvent(""2"");","if (DefaultDice.WithRange(0,100).Roll().Value+PlayerInfo.Lucky>90)
        {
            PlayerInfo.RandomrelicByRarity(""3"");
            PlayerInfo.ChangeEventSubtip(@""<good>(.*?)<\/good>"");
            PlayerInfo.ContinueEvent(""3"");
        }
        else
        {
            Vars[""Use1""]=""true"";
            PlayerInfo.ContinueEvent(""4"");
        }",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
Sub_*2006_2,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";"," PlayerInfo.AnnounceEventDone();
            PlayerInfo.SetGameVar(""HasSix"",""True"");
        PlayerInfo.SetGameVar(""EndBoss"",""map_1002"");
            PlayerInfo.StartLevel(""Fight"", ""level_10049"");"
Sub_*2006_3,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
Sub_*2006_4,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";"," PlayerInfo.AnnounceEventDone();
            PlayerInfo.SetGameVar(""HasSix"",""True"");
        PlayerInfo.SetGameVar(""EndBoss"",""map_1002"");
            PlayerInfo.StartLevel(""Fight"", ""level_10049"");"
*2007,"PlayerInfo.AddBless(""blessing_*49"");
        PlayerInfo.EndEvent();","PlayerInfo.MaxHp-=PlayerInfo.MaxHp/5;
        PlayerInfo.EndEvent();",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
*2008,"string temp="""";
        if (PlayerInfo.ChooseVars!=null&&PlayerInfo.ChooseVars.Count>=2)
        {
            temp=PlayerInfo.ChooseVars[1];
        }
        if (temp==""Wisdom"")
        {
            PlayerInfo.Wisdom=0;
        }
        if (temp==""Lucky"")
        {
            PlayerInfo.Lucky=0;
        }
        if (temp==""Perceive"")
        {
            PlayerInfo.Perceive=0;
        }
        if (temp==""Strength"")
        {
            PlayerInfo.Strength=0;
        }
        PlayerInfo.ChangeAllVars(""5"");
        PlayerInfo.MaxHp+=PlayerInfo.MaxHp;
        PlayerInfo.ContinueEvent(""2"");","PlayerInfo.Money=0;
        PlayerInfo.MainVarUpperBound=99;
        PlayerInfo.SecondaryVarUpperBound=99;
        PlayerInfo.ChangeSelected(""5"");
        PlayerInfo.EndEvent();",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
Sub_*2008_2,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2009,"PlayerInfo.Money+=333;
        PlayerInfo.RandomAddBless(""1"");
        PlayerInfo.RandomAddCardByDeck(""1"");
        PlayerInfo.RandomAddRelic(""1"");       PlayerInfo.ContinueEvent(""2"");","PlayerInfo.ChangeSelected(""5"");
        PlayerInfo.ContinueEvent(""3"");",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
Sub_*2009_2,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
Sub_*2009_3,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2010,"var cards=GetcardsOutLock().Where(x=>x[""Tag""].Contains(""Curse"")).ToList();
        int count=DefaultDice.WithRange(0,cards.Count()-1).Roll().Value;
        DataConfig temp=new DataConfig(cards[count][""Id""],DataType.Card);
        temp.Vars[""Tag""]+="",Eternal"";
        PlayerInfo.AddCardByData(temp);
        PlayerInfo.Money+=300;
        PlayerInfo.ChangeAllVars(""4"");
        PlayerInfo.EndEvent();","int count=PlayerInfo.RelicCount*3;
        PlayerInfo.RandomAddBless(count.ToString());
        PlayerInfo.EndEvent();",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
*2011,"PlayerInfo.OtherVarUpperBound=30;
        if (!PlayerInfo.ChooseVars.Contains(""Strength""))
        {
            PlayerInfo.Strength+=5;
        }
        if (!PlayerInfo.ChooseVars.Contains(""Wisdom""))
        {
            PlayerInfo.Wisdom+=5;
        }
        if (!PlayerInfo.ChooseVars.Contains(""Perceive""))
        {
            PlayerInfo.Perceive+=5;
        }
        if (!PlayerInfo.ChooseVars.Contains(""Lucky""))
        {
            PlayerInfo.Lucky+=5;
        }
        PlayerInfo.ContinueEvent(""2"");","PlayerInfo.MaxHp+=100;
        PlayerInfo.Money+=500;
        PlayerInfo.ContinueEvent(""3"");",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";
","PlayerInfo.StartLevel(""build"",""break"");"
Sub_*2011_2,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
Sub_*2011_3,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2012,"PlayerInfo.TrueCount+=50;
        PlayerInfo.EndEvent();","OutFightSelectCardToAction(""1"",PlayerInfo.CardList.ToList(),(cardList)=>{
            foreach (var card in cardList)
                    {
                        PlayerInfo.CopyCard(card.InstanceID);
                    }}); PlayerInfo.EndEvent();",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";","PlayerInfo.StartLevel(""build"",""break"");"
*2013,"int count=PlayerInfo.Money/2;
        PlayerInfo.Money-=count;
        for (int i = 0; i < count/40; i++)
        {
            PlayerInfo.ChangeAllVars(""1"");
        }
        PlayerInfo.EndEvent();","PlayerInfo.AddRelic(""CrowdFundingRelic_29"");
        PlayerInfo.EndEvent();",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";","PlayerInfo.StartLevel(""build"",""break"");"
*2014,"PlayerInfo.AddBless(""blessing_*50"");
        PlayerInfo.EndEvent();","PlayerInfo.SetGameVar(""Difficulty"",(int.Parse(PlayerInfo.GetGameVar(""Difficulty""))+2).ToString());
        PlayerInfo.EndEvent();",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";","PlayerInfo.StartLevel(""build"",""break"");"
*2015,"PlayerInfo.ContinueEvent(""2"");","if (DefaultDice.WithRange(0,100).Roll().Value+PlayerInfo.Lucky>90)
        {
            PlayerInfo.RandomrelicByRarity(""4"");
            PlayerInfo.ChangeEventSubtip(@""<good>(.*?)<\/good>"");
            PlayerInfo.ContinueEvent(""3"");
        }
        else
        {
            PlayerInfo.ContinueEvent(""4"");
        }",,,"Vars[""Choice1""]=""1"";
Vars[""Choice2""]=""1"";",
Sub_*2015_2,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";","PlayerInfo.AnnounceEventDone();
            PlayerInfo.SetGameVar(""HasSix"",""True"");
        PlayerInfo.SetGameVar(""EndBoss"",""map_1002"");
            PlayerInfo.StartLevel(""Fight"", ""level_10050"");"
Sub_*2015_3,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
Sub_*2015_4,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";","PlayerInfo.AnnounceEventDone();
            PlayerInfo.SetGameVar(""HasSix"",""True"");
        PlayerInfo.SetGameVar(""EndBoss"",""map_1002"");
            PlayerInfo.StartLevel(""Fight"", ""level_10050"");"
*2016,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2017,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2018,"PlayerInfo.ContinueEvent(""2"");","PlayerInfo.ContinueEvent(""3"");",,,"Vars[""Choice1""]=""1"";Vars[""Choice2""]=""1"";",
Sub_*2018_2,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
Sub_*2018_3,"PlayerInfo.ContinueEvent(""4"");",,,,"Vars[""Choice1""]=""1"";",
Sub_*2018_4,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2019,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
*2020,PlayerInfo.EndEvent();,,,,"Vars[""Choice1""]=""1"";",
