Id,Name,Hp,Attack,Defend,ActionCount,Rarity,InitScript,CardList,AttributeText,Animation
10017,圣械协从,95,8,4,2,1,"AddBuff(""buff_resilient"", ""2"");","enemycard_defence, enemycard_burn1, enemycard_burn, enemycard_OrdinaryHit",buff_resilient,AnimationLib/圣械协从
10018,惊喜礼物盒,330,14,24,2,2,"AddBuff(""SpecialBuff_expiation"", ""5"");","enemycard_OrdinaryHit,enemycard_Weak, enemycard_defence, enemycard_Witness",SpecialBuff_expiation,AnimationLib/惊喜礼物盒
10019,莉莉,85,7,4,2,1,,"enemycard_OrdinaryHit, enemycard_defence, enemycard_charmed, enemycard_QuadrupleHits",,AnimationLib/莉莉
10020,守夜人,198,5,0,2,3,"AddBuff(""buff_chrysalis"", ""1"");","enemycard_burn, enemycard_burn1, enemycard_Toxin1, enemycard_Toxin2, enemycard_Toxin3, enemycard_Toxin4, enemycard_PlugCards1, enemycard_VenomSpray",buff_chrysalis,AnimationLib/守夜人
10021,腐化主教,64,7,4,2,1,"AddBuff(""SpecialBuff_BackToBasics"",  ""1"");","enemycard_rejuvenation, enemycard_OrdinaryFiveHit, enemycard_NeverDead, enemycard_OrdinaryHit, enemycard_defence, enemycard_Charge1, enemycard_burn1, enemycard_Toxin2, enemycard_VenomSpray",SpecialBuff_BackToBasics,AnimationLib/腐化主教
10022,普拉提之王,240,5,5,2,3,"AddBuff(""SpecialBuff_UnparalleledPower"",  ""1"");
","enemycard_OrdinaryHit,enemycard_defence,enemycard_OrdinaryFiveHit, enemycard_Come",SpecialBuff_UnparalleledPower,AnimationLib/普拉提之王
10023,普拉提壮壮,95,6,7,2,1,"
","enemycard_OrdinaryHit,enemycard_defence,enemycard_OverrunWorkouts,enemycard_OrdinaryFiveHit",,AnimationLib/普拉提壮壮
*10024,腐化圣骑,144,10,4,2,2,"AddBuff(""buff_impregnable"", ""2"");AddBuff(""buff_barkhide"", ""1"");","enemycard_burn1, enemycard_Toxin3, enemycard_Toxin1, enemycard_NeverDead, enemycard_QuadrupleHits, enemycard_Charge1, enemycard_specialAttack, enemycard_VenomSpray",buff_impregnable;buff_barkhide,AnimationLib/腐化圣骑
10025,腐化蛛人,60,7,4,2,1,,"enemycard_OrdinaryHit,enemycard_defence,enemycard_Toxin3, enemycard_Toxin1, enemycard_Charge1, enemycard_WeakLight, enemycard_QuadrupleHits",,AnimationLib/腐化蛛人
10026,恶意聚合体,58,5,2,2,1,,"enemycard_OrdinaryHit,enemycard_defence,enemycard_Toxin1,enemycard_Toxin2,enemycard_Toxin3, enemycard_VenomSpray, enemycard_QuadrupleHits",,AnimationLib/恶意聚合体
*99999,测试者,1199999,0,1,2,1,"AddBuff(""SpecialBuff_AdvancedWoodenStakes"",  ""1"");",enemycard_defence,SpecialBuff_AdvancedWoodenStakes,AnimationLib/无形象敌人
10027,永夜化身,640,10,10,3,3,"AddBuff(""SpecialBuff_ImmortalGodhead"",  ""3"");
if (int.Parse(PlayerInfo.GetTagDiff()) > 35)
        {
           AddBuff(""SpecialBuff_Law:Judgment"",  ""1"");
        }
AddBuff(""SpecialBuff_Law:Supreme"",  ""1"");
AddBuff(""SpecialBuff_Transcendent"",  ""1"");
","enemycard_OrdinaryHit, enemycard_defence, enemycard_QuadrupleHits, enemycard_PlugCards2, enemycard_PlugCards1, enemycard_burn2, enemycard_specialAttack",SpecialBuff_Law:Supreme;SpecialBuff_Transcendent;SpecialBuff_ImmortalGodhead;SpecialBuff_Law:Judgment,AnimationLib/永夜化身
10028,方片舞者,130,12,6,1,1,"AddBuff(""SpecialBuff_hunting"",  ""1"");","enemycard_QuadrupleHits, enemycard_OrdinaryHit, enemycard_defence, enemycard_rejuvenation",SpecialBuff_hunting,AnimationLib/方片舞者
10029,暴怒残片,130,11,4,2,3,"AddBuff(""SpecialBuff_AllogeneicConcentric"",  ""1"");AddBuff(""buff_bloodwall"", ""8"");","enemycard_rejuvenation, enemycard_OverrunWorkouts, enemycard_OrdinaryHit, enemycard_NeverDead, enemycard_QuadrupleHits",SpecialBuff_AllogeneicConcentric,AnimationLib/暴怒残片
10032,魔将 帕梅拉,900,12,8,2,3,"AddBuff(""SpecialBuff_TrialsOfWisdom"",  ""1"");","enemycard_FiveHit, enemycard_EvilCurse, enemycard_psychologicalShock, enemycard_defence",SpecialBuff_TrialsOfWisdom,AnimationLib/魔将 帕梅拉
10033,熔火圣骸,160,6,5,2,3,"AddBuff(""SpecialBuff_Phoenix"",  ""1"");","enemycard_SpreadWings, enemycard_HighFly, enemycard_burn, enemycard_burn1, enemycard_Charge1",SpecialBuff_Phoenix,AnimationLib/熔火圣骸
10034,自动机关人偶,192,10,5,3,1,"AddBuff(""SpecialBuff_Snitch"",  ""1"");","enemycard_OrdinaryHit, enemycard_defence, enemycard_LimePowder, enemycard_PoisonThrowing, enemycard_Weak",SpecialBuff_Snitch,AnimationLib/自动机关人偶
10035,K,160,10,7,2,2,"AddBuff(""SpecialBuff_Priest"",  ""1"");","enemycard_defence, enemycard_EvilCurse, enemycard_Toxin2, enemycard_obtainMoney",SpecialBuff_Priest,AnimationLib/K
10036,鬼牌:小王,149,10,6,2,2,"AddBuff(""SpecialBuff_Twins"",  ""1"");","enemycard_defence, enemycard_OrdinaryHit, enemycard_PlugCards3",SpecialBuff_Twins,AnimationLib/鬼牌小王黑
10037,鬼牌:小王,132,13,6,2,2,"AddBuff(""SpecialBuff_Twins"",  ""1"");","enemycard_OrdinaryHit, enemycard_defence, enemycard_fearless, enemycard_IceShield, enemycard_Toxin4",SpecialBuff_Twins,AnimationLib/鬼牌小王白
*10038,灾厄祭司,78,8,6,2,1,"AddBuff(""SpecialBuff_Musician"",  ""1"");","enemycard_OrdinaryHit, enemycard_defence, enemycard_charmed",SpecialBuff_Musician,AnimationLib/无形象敌人
10039,黑桃骑士,144,10,0,3,1,"AddBuff(""SpecialBuff_ThirstForBlood"",  ""1"");","enemycard_defence, enemycard_OrdinaryHit, enemycard_burn1",SpecialBuff_ThirstForBlood,AnimationLib/黑桃骑士
10040,魔女教教徒,66,8,5,3,1,"AddBuff(""SpecialBuff_WitchCultists"",  ""1"");","enemycard_QuadrupleHits, enemycard_rejuvenation, enemycard_charmed, enemycard_OverrunWorkouts, enemycard_NerveReflexes, enemycard_fearless, enemycard_Witness, enemycard_Toxin1, enemycard_Toxin2, enemycard_Toxin3, enemycard_Toxin4, enemycard_foraging, enemycard_NeverDead, enemycard_OrdinaryHit, enemycard_SuperFireBall, enemycard_WeakLight, enemycard_OrdinaryFiveHit, enemycard_Weak, enemycard_thief, enemycard_Thieves",SpecialBuff_WitchCultists,AnimationLib/魔女教教徒
10041,天眷者,45,5,4,2,1,"AddBuff(""SpecialBuff_BlessedByHeaven"",  ""1"");","enemycard_OrdinaryHit, enemycard_defence, enemycard_OrdinaryFiveHit, enemycard_Charge1",SpecialBuff_BlessedByHeaven,AnimationLib/天眷者
10042,吞金兽,63,6,4,2,1,"AddBuff(""SpecialBuff_FortuneBoy"",  ""1"");","enemycard_defence, enemycard_OrdinaryHit, enemycard_OverrunWorkouts, enemycard_MakeIneffectiveRays1",SpecialBuff_FortuneBoy,AnimationLib/吞金兽
10043,活性晶簇,80,8,4,2,1,"AddBuff(""SpecialBuff_Mimics"",  ""1"");","enemycard_defence, enemycard_OrdinaryHit, enemycard_NeverDead, enemycard_vulnerabilityLight",SpecialBuff_Mimics,AnimationLib/活性晶簇
10044,操偶师,120,6,7,2,2,,"enemycard_defence, enemycard_OrdinaryHit, enemycard_MT1, enemycard_MT2, enemycard_Wake",,AnimationLib/操偶师
10045,巨大玩偶熊,300,11,7,2,2,"AddBuff(""SpecialBuff_GiantDollBear"",  ""1"");","enemycard_GiantClawStrike, enemycard_PowerlessCurse, enemycard_defence, enemycard_OrdinaryHit, enemycard_Charge1, enemycard_Charge2, enemycard_QuadrupleHits",SpecialBuff_GiantDollBear,AnimationLib/巨大玩偶熊
10046,恐惧残片,134,6,6,2,3,"AddBuff(""SpecialBuff_AllogeneicConcentric"",  ""1"");AddBuff(""buff_bloodwall"", ""12"");","enemycard_rejuvenation, enemycard_OrdinaryHit, enemycard_defence, enemycard_FullSupport",SpecialBuff_AllogeneicConcentric,AnimationLib/恐惧残片
10047,怠惰残片,115,8,4,3,3,"AddBuff(""SpecialBuff_AllogeneicConcentric"",  ""1"");AddBuff(""buff_bloodwall"", ""10"");","enemycard_rejuvenation, enemycard_OverrunWorkouts, enemycard_OrdinaryHit, enemycard_Observe, enemycard_PowerlessCurse, enemycard_PlugCards1, enemycard_Charge1",SpecialBuff_AllogeneicConcentric,AnimationLib/怠惰残片
10048,魔王,950,12,10,3,3,"AddBuff(""SpecialBuff_OriginalSin"",  ""3"");","enemycard_OriginalSinCard, enemycard_SuperFireBall, enemycard_defence, enemycard_OrdinaryHit, enemycard_specialAttack, enemycard_Despair, enemycard_RoyalBarrier",SpecialBuff_OriginalSin,AnimationLib/魔王一阶段
10049,魔王剑,300,10,8,2,2,"AddBuff(""SpecialBuff_SwordOfTheDemonKing"",  ""1"");","enemycard_defence, enemycard_OrdinaryHit, enemycard_specialAttack",SpecialBuff_SwordOfTheDemonKing,AnimationLib/魔王剑右
10050,魔王剑,320,12,6,2,2,"AddBuff(""SpecialBuff_SwordOfTheDemonKing"",  ""1"");","enemycard_defence, enemycard_OrdinaryHit, enemycard_FiveHit",SpecialBuff_SwordOfTheDemonKing,AnimationLib/魔王剑左
*10051,魔王,950,12,10,3,3,"AddBuff(""SpecialBuff_OriginalSin"",  ""3"");","enemycard_OriginalSinCard, enemycard_SuperFireBall, enemycard_defence, enemycard_OrdinaryHit, enemycard_specialAttack, enemycard_Despair, enemycard_RoyalBarrier",SpecialBuff_OriginalSin,AnimationLib/魔王二阶段
*10052,魔王,950,12,10,3,3,"AddBuff(""SpecialBuff_OriginalSin"",  ""3"");","enemycard_OriginalSinCard, enemycard_SuperFireBall, enemycard_defence, enemycard_OrdinaryHit, enemycard_specialAttack, enemycard_Despair, enemycard_RoyalBarrier",SpecialBuff_OriginalSin,AnimationLib/魔王三阶段
*10053,永夜化身,60,5,5,2,3,,"enemycard_OrdinaryHit, enemycard_defence, enemycard_QuadrupleHits, enemycard_PlugCards2, enemycard_PlugCards1, enemycard_burn2, enemycard_specialAttack",,AnimationLib/永夜化身
10054,使魔猫猫,33,4,0,2,1,,"enemycard_OrdinaryHit, enemycard_defence",,AnimationLib/使魔猫猫
10055,神圣审判机关,860,7,0,2,3,"AddBuff(""SpecialBuff_HolyJudgementEngine"",  ""1"");
Self.AddSummon(""AnimationLib/神圣审判机关/十字"", ""十字"");
Self.AddSummon(""AnimationLib/神圣审判机关/花纹"", ""花纹"");
Self.AddSummon(""AnimationLib/神圣审判机关/表盘"", ""表盘"");
Self.AddSummon(""AnimationLib/神圣审判机关/眼睛"", ""眼睛"");
Self.AddSummon(""AnimationLib/神圣审判机关/指针"", ""指针"");
// =====动画=====
Self.FindSummon(""花纹"").transform.DORotate(new Vector3(0, 0, 360), 16f, RotateMode.FastBeyond360)
            .SetLoops(-1, LoopType.Restart)
            .SetEase(Ease.Linear);

Self.FindSummon(""表盘"").transform.DORotate(new Vector3(0, 0, -360), 16f, RotateMode.FastBeyond360)
            .SetLoops(-1, LoopType.Restart)
            .SetEase(Ease.Linear);
","enemycard_defence, enemycard_OrdinaryHit",SpecialBuff_HolyJudgementEngine,AnimationLib/神圣审判机关
10056,勇者卡洛琳,240,7,6,2,3,"AddBuff(""SpecialBuff_CAR_Momentum"", ""1"");","enemycard_CAR_Spear, enemycard_CAR_Hammer, enemycard_defence, enemycard_OrdinaryHit",SpecialBuff_CAR_Momentum,AnimationLib/卡洛琳一阶段
10057,勇者卡洛琳,460,9,9,2,3,"AddBuff(""SpecialBuff_CAR_Momentum"", ""1"");AddBuff(""SpecialBuff_CAR_HeroBlessing"", ""1"");","enemycard_CAR_Spear, enemycard_CAR_Hammer, enemycard_CAR_Shield, enemycard_defence, enemycard_OrdinaryHit",SpecialBuff_CAR_Momentum;SpecialBuff_CAR_HeroBlessing,AnimationLib/卡洛琳二阶段
10058,勇者卡洛琳,896,12,12,3,3,"AddBuff(""SpecialBuff_CAR_Momentum"", ""1"");AddBuff(""SpecialBuff_CAR_HeroBlessing"", ""1"");AddBuff(""SpecialBuff_CAR_Deadline"", ""1"");","enemycard_CAR_Spear, enemycard_CAR_Hammer, enemycard_CAR_Shield, enemycard_CAR_Sword, enemycard_defence, enemycard_OrdinaryHit, enemycard_Charge1",SpecialBuff_CAR_Momentum;SpecialBuff_CAR_HeroBlessing;SpecialBuff_CAR_Deadline,AnimationLib/卡洛琳三阶段
10059,混血龙裔,450,10,10,2,3,"AddBuff(""SpecialBuff_Dragon'sBlood"", ""1"");","enemycard_Seduce, enemycard_GiantClawStrike, enemycard_defence, enemycard_MakeIneffectiveRays1",,AnimationLib/混血龙裔
10060,鬼牌：大王,400,9,10,2,3,"AddBuff(""SpecialBuff_Joker:King"", ""1"");","enemycard_Toxin3, enemycard_Toxin2, enemycard_burn1, enemycard_OrdinaryHit, enemycard_defence",,AnimationLib/鬼牌大王
10061,欲念魔女,600,11,10,3,3,"AddBuff(""SpecialBuff_DesireWitch"", ""1"");","enemycard_defence, enemycard_OrdinaryHit, enemycard_QuadrupleHits, enemycard_OrdinaryFiveHit, enemycard_rejuvenation",,AnimationLib/欲念魔女
