Id,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
*17,技能牌,屑·游玲,游玲神谕术,游玲神諭術,Youling Oracle,游玲神託術,"手牌中每有一张唤神卡，获得{0}点超魔
唤神：获得手牌数量层数的【强韧】与【锋锐】
超魔x：获得x/2层【坚毅】","手牌中每有一張喚神卡，獲得{0}點超魔
喚神：獲得手牌數量層數的【強韌】與【鋒銳】
超魔x：獲得x層【堅毅】","For each Invocation card in hand, gain {0} Metamagic.
Invocation: Gain {buff_resilient} and {buff_keenedge} equal to the number of cards in hand.
Metamagic X: Gain X/2 stack(s) of {buff_impregnable}.","手札の神を呼ぶカード1枚につき、スーパーマジックを{0}獲得する。
神を呼ぶ：手札枚数に等しい{buff_resilient}と{buff_keenedge}を獲得する。
スーパーマジックx：{buff_impregnable}をxスタック獲得する。"
*18,技能牌,交响日向,绝唱,絕唱,Final Song,絶唱,对自身造成最大生命值{0}%的伤害（不造成死亡），获得{1}层流血，唤神：获得（神启层数+1）*{2}层超凡，对敌方所有造成（神启层数+1）*{2}伤害，并清除敌方所有行动。唤神，焚毁,對自身造成最大生命值{0}%的傷害（不造成死亡），獲得{1}層流血，喚神：獲得（神啟層數+1）*{2}層超凡，對敵方所有造成（神啟層數+1）*{2}傷害，并清除敵方所有行动。喚神，焚毀,"Deal damage to yourself equal to {0}% Max Health (cannot kill you), gain {1} {buff_bleeding}. Invocation: gain ({buff_revelation} stacks + 1) * {2} {buff_extraordinary}, deal ({buff_revelation} stacks + 1) * {2} damage to all enemies, and clear all enemy actions. Invocation. Burn.",自身に最大HP{0}%分のダメージを与える（死亡しない）。{buff_bleeding}を{1}スタック獲得する。神を呼ぶ：({buff_revelation}スタック+1)*{2}の{buff_extraordinary}を獲得し、敵全体に({buff_revelation}スタック+1)*{2}ダメージを与え、敵のすべての行動を消去する。神を呼ぶ。焼却。
*20,技能牌,暗夜之师,新型炼金物,新型煉金物,New Alchemy,新型錬金物,"对自身造成{0}点伤害，对敌方造成敌方{1}%生命上限的真实伤害,本场战斗每次使用额外叠加2%，最高叠加至18%",對自身造成{0}點傷害，對敵方造成{1}%生命上限的真實傷害，多次使用可以叠加傷害（每次叠加2%）最高叠加至18%,"Deal {0} damage to yourself and True Damage to the enemy equal to {1}% of their Max Health. Repeated uses stack the damage, +2% each time, up to 18%.",自身に{0}ダメージを与え、敵に最大HP{1}%分の貫通ダメージを与える。複数回使用するとダメージが累積し、毎回+2%、最大18%。
*21,技能牌,白给喵～,超位魔法 ·沧溟星蚀,超位魔法 ·滄溟星蝕,Azure Eclipse,超位魔法・滄溟星蝕,"造成{0}点伤害
裂变：让这张牌的伤害翻一倍","造成{0}點傷害
飛升：让这張牌的傷害翻一倍","Deal {0} damage.
Fission: double this card’s damage.","{0}ダメージを与える。
飛升：このカードのダメージを2倍にする。"
*22,技能牌,絮,焦油之手,焦油之手,Tar Hand,タールの手,给予所有敌人【同心】{0}层,"給予所有敵人【同心】{0}層，焚毀

【同心】所有具有该状態的目標，受到傷害時，将傷害同步给其他目標","Apply {0} stacks of {buff_lifelink} to all enemies. Burn.

{buff_lifelink}: when any target with this status takes damage, that damage is mirrored to all other targets with it.","すべての敵に【同心】を{0}スタック付与する。焼却。

【同心】この状態を持つ対象がダメージを受けた時、そのダメージを他の同状態の対象にも同期する。"
*23,技能牌,蔚蓝色星光,超新星,超新星,Supernova,超新星,打出并焚毁抽卡堆中的所有卡，每焚毁{0}张卡获得1点魔能。,打出并焚毀抽卡堆中的所有卡，每焚毀{0}張卡獲得1點魔能。,Play and Burn all cards in the draw pile. Gain 1 Mana for every {0} cards Burned.,山札のすべてのカードを使用して焼却する。焼却したカード{0}枚ごとに魔力を1獲得する。
*24,技能牌,观乐不乐观,数据溢出,數據溢出,Data Overflow,データオーバーフロー,获得{0}层启示,獲得{0}層启示,Gain {0} stacks of {buff_epiphany}.,啓示を{0}スタック獲得する。
*25,技能牌,於昕箖,扭曲的祈愿,扭曲的祈願,Twisted Prayer,歪んだ祈願,将自身血量变为{0}%，获得{1}层连携，焚毁,将自身血量變為{0}%，獲得{1}層連攜，焚毀,"Set your Health to {0}%, gain {1} stacks of {buff_synergies}, and Burn.",自身のHPを{0}%にし、連携を{1}スタック獲得する。焼却。
*26,技能牌,冬雨,既视感,既視感,Deja Vu,既視感,"此卡牌在手牌中时：打出卡牌获得{0}点超魔，弃牌时重置超魔
超魔x：费用增加（x-1），使用后可以抽x张牌。","此卡牌在手牌中時：打出卡牌獲得{0}點超魔，弃牌時重置超魔
超魔x：費用增加（x-1），使用後可以抽x張牌。
焚毀","While this card is in hand: playing cards grants {0} Overmagic; discarding cards resets Overmagic.
Overmagic x: cost increases by (x-1). After use, draw x cards.
Burn.","このカードが手札にある時：カードを使用すると超魔を{0}獲得し、カードを捨てると超魔をリセットする。
超魔x：コストが（x-1）増加する。使用後、カードをx枚引ける。
焼却。"
*27,技能牌,繁星雨未落,穿越穷极之门,穿越窮極之門,Extremity Gate,窮極の門を越えて,使用时给予目标{0}层时停,固有，焚毀，保留，凝滞，使用時給予目標{0}層時停,"Innate, Burn, Retain, Stagnant. On use, apply {0} stacks of {buff_timestop} to the target.",固有、焼却、保留、凝滞。使用時、対象に時停を{0}スタック付与する。
*28,技能牌,Epitheus,星空之中,星空之中,Among the Stars,星空の中で,"舍弃此牌时获得{0}种随机强化状态并焚毁自身，在抽牌堆加入一张同名卡，下回合恢复2点魔能。
指向非自身的友方时，可将此卡牌给予目标；凝滞","舍弃此牌時獲得{0}種隨機强化状態并焚毀自身，在抽牌堆加入一張同名卡，下回合恢復2點魔能。
指向非自身的友方時，可将此卡牌給予目標；凝滞","When this card is discarded, gain {0} random positive statuses, Burn this card, add a card with the same name to the draw pile, and restore 2 Mana next turn.
When targeting an ally other than self, give this card to that target. Stagnant.","このカードを捨てた時、ランダムな強化状態を{0}種類獲得し、自身を焼却し、同名カードを山札に加え、次のターンに魔力を2回復する。
自身以外の味方を対象にした時、このカードをその対象に与える。凝滞。"
29,技能牌,,混乱投枪,混亂投槍,Chaos Javelin,混沌の投槍,检定{0}：若成功，造成4次{1}点伤害；若失败，获得{2}点护盾；,檢定{0}：若成功，造成4次{1}點傷害；若失败，獲得{2}點護盾；,"Check {0}: if successful, deal {1} damage 4 times; if failed, gain {2} Shield.",檢定{0}：成功した場合、{1}ダメージを4回与える。失敗した場合、{2}シールドを獲得する。
30,技能牌,,法术灵感,法術靈感,Spell Insight,法術霊感,检定{0}：若成功，抽{1}张牌；若失败，抽{2}张牌；,檢定{0}：若成功，抽{1}張牌；若失败，抽{2}張牌；,"Check {0}: if successful, draw {1} cards; if failed, draw {2} cards.",檢定{0}：成功した場合、カードを{1}枚引く。失敗した場合、カードを{2}枚引く。
31,技能牌,,奇迹治愈,奇跡治癒,Miracle Heal,奇跡の治癒,检定{0}：若成功，恢复{1}点生命；若失败，抽{2}张牌；,檢定{0}：若成功，恢復{1}點生命；若失败，抽{2}張牌；,"Check {0}: if successful, restore {1} Health; if failed, draw {2} cards.",檢定{0}：成功した場合、HPを{1}回復する。失敗した場合、カードを{2}枚引く。
32,技能牌,,混沌赐福,混沌賜福,Chaos Blessing,混沌の祝福,检定{0}：若成功，获得随机{1}种强化状态；若失败，获得随机{2}种负面状态；,檢定{0}：若成功，獲得隨機{1}種强化状態；若失败，獲得隨機{2}種負面狀態；,"Check {0}: if successful, gain {1} random positive statuses; if failed, gain {2} random negative statuses.",檢定{0}：成功した場合、ランダムな強化状態を{1}種類獲得する。失敗した場合、ランダムなデバフを{2}種類獲得する。
33,技能牌,,涡流盾甲,渦流盾甲,Vortex Mail,渦流盾甲,获得{0}点护盾；检定{1}：若成功，获得{2}层元素；若失败，获得{3}层毒素；,獲得{0}點護盾；檢定{1}：若成功，獲得{2}層元素；若失败，獲得{3}層毒素；,"Gain {0} Shield. Check {1}: if successful, gain {2} stacks of {buff_elements}; if failed, gain {3} stacks of {buff_toxin}.",{0}シールドを獲得する。檢定{1}：成功した場合、元素を{2}スタック獲得する。失敗した場合、毒素を{3}スタック獲得する。
34,技能牌,,奖励骰,獎励骰,Bonus Die,ボーナスダイス,本场战斗中，之后的检定骰会额外扔出一次，取检定值更大的结果,本場戰鬥中，之後的檢定骰会额外扔出一次，取檢定值更大的结果,"For the rest of this combat, roll Checks one extra time and use the higher result.",この戦闘中、以後の檢定ダイスは追加で1回振り、より高い結果を採用する。
36,技能牌,,不稳定魔能,不穩定魔能,Unstable Mana,不安定な魔力,检定{0}：若成功，获得{1}点魔能；若失败，获得{2}点护盾；,檢定{0}：若成功，獲得{1}點魔能；若失败，獲得{2}點護盾；,"Check {0}: if successful, gain {1} Mana; if failed, gain {2} Shield.",檢定{0}：成功した場合、魔力を{1}獲得する。失敗した場合、{2}シールドを獲得する。
40,技能牌,,厄米娅旋尾刃,厄米婭旋尾刃,Ermia Tailblade,エルミアの旋尾刃,对目标随机造成{0}~{1}点伤害；检定{2}：若成功，则提升10检定难度并再次使用，直至检定失败；,對目標隨機造成{0}~{1}點傷害；檢定{2}：若成功，则提升10檢定难度并再次使用，直至檢定失败；,"Deal random damage from {0} to {1} to the target. Check {2}: if successful, increase Check difficulty by 10 and use again until the Check fails.",対象に{0}～{1}のランダムダメージを与える。檢定{2}：成功した場合、檢定難度を10上げて再度使用し、失敗するまで続ける。
41,技能牌,,变成猫猫吧~,變成貓貓吧~,Become a Cat~,猫になあれ～,检定{0}：若成功，目标变成一只使魔猫猫{1}回合，此卡牌焚毁；若失败，恢复{2}点魔能，此卡牌检定难度降低{3}；,檢定{0}：若成功，目標變成一只使魔貓貓{1}回合，此卡牌焚毀；若失败，恢復{2}點魔能，此卡牌檢定难度降低{3}；,"Check {0}: if successful, turn the target into a familiar cat for {1} turns and Burn this card; if failed, restore {2} Mana and reduce this card’s Check difficulty by {3}.",檢定{0}：成功した場合、対象を{1}ターンの間、使い魔猫に変え、このカードを焼却する。失敗した場合、魔力を{2}回復し、このカードの檢定難度を{3}下げる。
42,技能牌,,成为神明吧~,成為神明吧~,Become a God~,神様になあれ～,检定{0}：若成功，获得{1}种极其强大的强化状态并焚毁；若失败，此卡牌检定值降低{3}；,檢定{0}：若成功，獲得{1}種極其強大的强化狀態並焚毀；若失敗，此卡牌檢定值降低{3}；,"Check {0}: if successful, gain {1} kinds of extremely powerful buffs and Burn; if failed, reduce this card's Check value by {3}.",檢定{0}：成功した場合、{1}種類の極めて強力な強化状態を獲得して焚毀する。失敗した場合、このカードの檢定値を{3}下げる。
43,技能牌,,终曲,終曲,Finale,終曲,自身获得1层流血，空想，不朽与自身999层毒素,自身獲得1層流血，空想，不朽與自身999層毒素,"Gain 1 stack each of {buff_bleeding}, {buff_reverie}, and {buff_immortal}, plus 999 stacks of {buff_toxin}.",自身に出血、空想、不朽を各1スタック、さらに毒素を999スタック付与する。
44,技能牌,,混血秘仪,混血祕儀,Mixed-Blood Rite,混血秘儀,检定80：若成功，获得100枚金币和随机一件遗物；若失败，受到10%生命的真实伤害。,檢定80：若成功，獲得100枚金幣和隨機一件遗物；若失败，受到10%生命的真實傷害。,"Check 80: if successful, gain 100 Gold and a random Relic; if failed, take True Damage equal to 10% Health.",檢定80：成功した場合、100ゴールドとランダムな遺物を1つ獲得する。失敗した場合、HP10%分の貫通ダメージを受ける。
45,技能牌,,装点幸运,裝點幸运,Luck Adornment,幸運の装い,临时幸运+5.,臨時幸运+5.,Temporary Luck +5.,臨時幸運+5。
46,技能牌,,鬼牌秘术,鬼牌祕術,Joker Arcana,ジョーカー秘術,检定60：若成功，制造1张随机的3阶卡牌；若失败，制造1张随机的1阶卡牌；因此卡牌制造的卡牌消耗为0。,檢定60：若成功，製造1張隨機的3階卡牌；若失败，製造1張隨機的1階卡牌；因此卡牌製造的卡牌消耗為0。,"Check 60: if successful, create 1 random Tier 3 card; if failed, create 1 random Tier 1 card. Cards created by this card cost 0.",檢定60：成功した場合、ランダムな3階カードを1枚生成する。失敗した場合、ランダムな1階カードを1枚生成する。このカードが生成したカードのコストは0。
47,技能牌,,残鳞祭仪,殘鱗祭儀,Scale Rite,残鱗祭儀,焚毁你任意数量的手牌，每张获得【重生15】,焚毀你任意數量的手牌，每張獲得【重生15】,Burn any number of cards from your hand. Each burned card gains {buff_rebirth} 15.,任意の枚数の手札を焼却する。それぞれ【重生15】を得る。
48,技能牌,,水晶果冻,水晶果冻,Crystal Jelly,水晶ゼリー,为自身恢复{0}点生命值与1点魔能,為自身恢復{0}點生命值與1點魔能,Restore {0} Health and 1 Mana to yourself.,自身のHPを{0}回復し、魔力を1回復する。
49,技能牌,,绯咏弦奏,緋詠弦奏,Scarlet Aria,緋詠弦奏,流失20%最大生命值，获得等同于流失生命四分之一的重生及锋锐。当前为{0}。,流失20%最大生命值，獲得等同于流失生命四分之一的重生及鋒銳。當前為{0}。,Lose 20% Max Health. Gain {buff_rebirth} and {buff_keenedge} equal to one quarter of Health lost. Current: {0}.,最大HPの20%を失う。失ったHPの4分の1に等しい重生と鋭利を獲得する。現在：{0}。
