Id,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
10,消耗技能牌,,秘位：大书库,秘位：大書庫,Sec. Librarium,秘位：大書庫,"仪式：每打出一张牌，超魔+1。 
超魔4：抽牌直至手牌抽满，结束本仪式。 ","儀式：每打出一張牌，超魔+1。 
超魔4：抽牌直至手牌抽滿，結束本儀式。 
","Ritual: Whenever you play a card, Overmagic +1. 
Overmagic 4: Draw cards until your hand is full, then end this Ritual. 
","儀式：カードを1枚使用するたび、オーバーマジック+1。 
オーバーマジック4：手札が上限になるまでカードを引き、この儀式を終了する。 
"
11,消耗技能牌,,序位：阵列展开,序位：陣列展開,Ord. Array Cast,序位：陣列展開,"仪式：当你打出一张仪式牌时，获得2点【超魔】。 
超魔X：回合开始时，所有仪式的超魔+1。 ","儀式：當你打出一張儀式牌時，獲得2點【超魔】。 
超魔X：回合開始時，所有儀式的超魔+1。 ","Ritual: When you play a Ritual card, gain 2 Overmagic.
Overmagic X: At turn start, all Rituals gain +1 Overmagic.
","儀式：儀式カードを1枚使用した時、【オーバーマジック】を2獲得する。 
オーバーマジックX：ターン開始時、全ての儀式のオーバーマジック+1。 
"
12,消耗技能牌,,序位：新月回响,序位：新月迴響,Ord. Moon Echo,序位：新月の残響,仪式：当其他仪式触发超魔效果时，再触发一次。,"儀式：當其他儀式觸發超魔效果時，再觸發一次。 
","Ritual: When another Ritual triggers its Overmagic effect, trigger it one additional time. 
","儀式：他の儀式がオーバーマジック効果を発動した時、もう1回発動する。 
"
13,消耗技能牌,,秘位：行星研究,秘位：行星研究,Sec. Planet Lab,秘位：惑星研究,仪式：你每打出一张【仪式】牌，超魔+1。 超魔2：你每打出一张【仪式】牌，能量+1，抽一张牌。,儀式：你每打出一張【儀式】牌，超魔+1。 超魔2：你每打出一張【儀式】牌，魔能+1，抽一張牌。,"Ritual: Whenever you play a 【Ritual】 card, Overmagic +1. Overmagic 2: Whenever you play a 【Ritual】 card, Mana +1 and draw 1 card. ",儀式：【儀式】カードを1枚使用するたび、オーバーマジック+1。 オーバーマジック2：【儀式】カードを1枚使用するたび、マナ+1、カードを1枚引く。
14,消耗技能牌,,秘位：降临者,秘位：降臨者,Sec. Descender,秘位：降臨者,仪式：你打出的所有牌将被焚毁。每一张牌被焚毁时，超魔+1。 超魔10：获得444点超凡，结束本仪式。,儀式：你打出的所有牌將被焚毀。每一張牌，超魔+1。 超魔10：獲得444點{buff_extraordinary}，結束本儀式。,"Ritual: All cards you play will be Burned. For each card, Overmagic +1. Overmagic 10: Gain 444 stacks of {buff_extraordinary} and end this Ritual. ",儀式：あなたが使用した全てのカードは燃焼する。カード1枚につき、オーバーマジック+1。 オーバーマジック10：{buff_extraordinary}を444スタック獲得し、この儀式を終了する。
15,消耗技能牌,,超位：黄昏再临,超位：黃昏再臨,Ult. Duskreturn,超位：黄昏再臨,仪式：你每有一个仪式，超魔+1。 超魔15：获得战斗胜利。,儀式：你每有一個儀式，超魔+1。 超魔12：獲得戰鬥勝利。,"Ritual: For each Ritual you have, Overmagic +1. Overmagic 15: Win the battle.",儀式：あなたが持つ儀式1つにつき、オーバーマジック+1。 オーバーマジック12：戦闘に勝利する。
16,消耗技能牌,,秘位：培植红莲,秘位：培植紅蓮,Sec. Red Lotus,秘位：紅蓮培植,仪式：你每打出三张带有【灼烧】的卡，额外触发一次灼烧。,儀式：你每打出三張帶有【灼燒】的卡，額外觸發一次灼燒。,"Ritual: For every three cards with 【Burn】 you play, trigger {buff_burn} one additional time. ",儀式：【灼燒】を持つカードを3枚使用するたび、灼燒を追加で1回発動する。
17,消耗技能牌,,秘位：时空囚徒,秘位：時空囚徒,Sec. Timebound,秘位：時空の囚人,仪式：你每有一层时之笼，超魔+1。 超魔X：每当时之笼里的效果结算时，从卡组中抽取一张【仪式】卡。,儀式：你每有一層{buff_timelock}，超魔+1。 超魔X：每當{buff_timelock}裡的效果結算時，從卡組中抽取一張【儀式】卡。,"Ritual: For each stack of {buff_timelock} you have, Overmagic +1. Overmagic X: Whenever an effect in {buff_timelock} resolves, draw a [Ritual] card from your deck.",儀式：あなたが持つ{buff_timelock}1スタックにつき、オーバーマジック+1。 オーバーマジックX：{buff_timelock}内の効果が解決されるたび、デッキから【儀式】カードを1枚引く。
18,消耗技能牌,,秘位：凝滞魔能,秘位：凝滯魔能,Sec. Mana Stasis,秘位：凝滞マナ,仪式：你每保留一张卡，超魔+1。 超魔X:回合开始时清空超魔，获得X点能量。,儀式：你每保留一張卡，超魔+1。 超魔X:回合開始時清空超魔，獲得X點魔能。,"Ritual: For each card you retain, Overmagic +1. Overmagic X: At turn start, clear Overmagic and gain X Mana. ",儀式：カードを1枚保留するたび、オーバーマジック+1。 オーバーマジックX:ターン開始時にオーバーマジックを空にし、Xマナを獲得する。
*19,消耗技能牌,,所有暴力的本我,所有暴力的本我,Id of Violence,あらゆる暴力のイド,仅在30%生命值以下可以打出， 对除了自身之外的所有人造成最大生命值130%的伤害,僅在30%生命值以下可以打出，對除了自身之外的所有人造成最大生命值130%的傷害,Can only be played below 30% HP. Deal damage equal to 130% of each target's Max Health to everyone except yourself.,残り体力が30%以下のときのみ発動可能で、自分以外のすべての人に最大体力の130%のダメージを与える
